filename,int-bounds,big-arr,big-arr-10x,linked,dlinked,bintree
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_labenginecodeqcommonhuffman.c_swaplist.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_linuxdriversgpudrmradeonmkregtable.c_INIT_LIST_HEAD.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_linuxtoolsusbusbiplibsrclist.h___list_del.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_kphp-kdbutiltftp.c_list_insert.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_gitcompat..list.h___list_del.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_kphp-kdblistslists-data.c_ltree_merge.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_linuxtoolstestingselftestsseccomp..kselftest_harness.h___register_test.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_linuxtoolsusbusbiplibsrclist.h_INIT_LIST_HEAD.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_rufussrclocalization.h_list_init.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_linuxtoolstestingselftestsuevent..kselftest_harness.h___register_test.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_gitrefs..list.h___list_del.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_rufussrcext2fskernel-list.h___list_del.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_kphp-kdbcopyexeccopyexec-data.c_tlist_clear.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_gitnegotiator..list.h___list_del.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_gitcompatwin32....list.h___list_del.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_linuxdriversscsisym53c8xx_2sym_misc.h___sym_que_add.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_linuxdriversgpudrmradeonmkregtable.c___list_add.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_linuxscriptskconfiglist.h___list_add.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_kphp-kdbtexttext-data.c_stree_merge.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_linuxtoolstestingselftestsrtc..kselftest_harness.h___register_test.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_kphp-kdbweightsweights-data.c_subsription_insert.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_skynet3rdlualstring.c_shrstr_allocpage.c,0,NA,NA,1,2,3
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_rufussrcext2fskernel-list.h___list_add.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_reactossdktoolshhpcompchmclist.h___list_del.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_linuxdriversscsisym53c8xx_2sym_misc.h___sym_que_del.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_linuxdriversatmiphase.c_ia_deque_rtn_q.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_kphp-kdbweightsweights-data.c_insert_use.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_linuxsamplesbpftest_lru_dist.c___list_del.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_linuxdriversatmiphase.c_ia_enque_head_rtn_q.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_labenginecodebotlibbe_ai_chat.c_FreeConsoleMessage.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_kphp-kdbfilesysfilesys-data.c_add_use.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_linuxsamplesbpftest_lru_dist.c___list_add.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_linuxdriversisdni4lisdn_ppp.c_isdn_ppp_register_compressor.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_labenginecodebotlibbe_ai_goal.c_AddLevelItemToList.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_linuxsamplesbpftest_lru_dist.c_INIT_LIST_HEAD.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_linuxtoolsusbusbiplibsrclist.h___list_add.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_reactossdktoolshhpcompchmclist.h___list_add.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_linuxtoolsfirewirelist.h_list_init.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_kphp-kdbfilesysfilesys-data.c_tree_lowerbound.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_linuxtoolstestingselftestsnet..kselftest_harness.h___register_test.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_reactosbaseservicesnfsdlist.h_list_init.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_linuxdriversscsicsiostorcsio_defs.h_csio_list_deleted.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_kphp-kdbantispamantispam-db-treap.c_tree_merge_sk.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_linuxscriptskconfiglist.h___list_del.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_h2odepslibgkcgkc.c_list_init.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_gitlist.h___list_del.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_reactosbaseservicesnfsdlist.h_list_add.c,0,NA,NA,NA,NA,NA
